jshmo,Joe,Shmo,shmoeyjoey,joe.shmo@McKillaGorilla.com,"Lobster, Cow, PIg, Chicken, Salmon",,,,"StarCraft, Fallout 3, Civilization II, Katamari Damacy, Super Mario World","Raiders of the Lost Ark, Goodfellas, Airplane!, Lawrence of Arabia, Pulp Fiction","Shine On You Crazy Diamond, Comfortably Numb, Pigs (Three Different Ones), Time, Echoes (Live from Pompeii)",,"New York Yankees, New York Knicks, New York Islanders, Dallas Stars, Texas Rangers",
aajith,,,,,,,,,,,,,,
aarefin,,,,,,,,,,,,,,
absaad,Abdullah,Saad,absaad,absaad@gmail.com,"Fish, Chicken, Lamb, Goat, Shrimp","How to Kill a Mocking Bird, The Chosen, Wuthering Heights, Harry Potter, Diary of a Wimpy Kid","Saudi Arabia, Palestine, Pakistan, Iraq, Turkey","Gyro, Burgers, Ice Cream, Biryani, Sushi","Legend of Zelda: Ocarina of Time, Super Smash Bros. Ultimate, MGS3, Minecraft, Legend of Zelda: Skyward Sword","Your Name, The Dark Knight, Harry Potter, Inception, Interstellar","Comfortably Numb, Shine On You Crazy Diamond, Wish You Were Here, Time, Money","Java, Python, C#, C++, Javascript, C",,"Avatar, SpongeBob, Parasyte, Steins Gate, Mob Psycho 100"
absalem,Abdallah,Salem,absalem,absalem@email.com,"Chicken, Cow, Goat, Camel","The Disposessed, An Inspector Calls, The Importance of Being Earnest, Return of the Spirit","India, Mali, Cuba, Germany, Serbia","Pizza, Gyro, Koshary, Baklava, Mahshi","MGS3, Hades, Disco Elysium, Valiant Hearts, Dead Cells","Night of the Counting of the Years, Terrorism and Kebab, Kes, Withnail and I, Trainspotting","Money, Another Brick in the Wall, Comfortably Numb, Time, Wish You Were Here","Python, Java, C++, C, MIPS","Sheffield United, Hibernian FC, Al Ahly SC, NY Cosmos, FC Union Berlin","Doctor Who, Utopia, Atlanta, Inside No 9, Mr Robot"
adanand,Adit,Anand,adit-anand,adit.anand03@gmail.com,"Lamb, Chicken, Fish, Ants, Clam","Born a Crime, Glass Castle, Grit, The Tipping Point, Freakonomics","Peru, Brazil, China, Egypt, Sweeden","Tacos, Crepes, Tofu Scramble, Palak Paneer, Tajine","Marvel's Spider-Man, Marvel's Spider-Man: Miles Morales, Super Smash Bros 4, Sonic Mania, NBA Jam","Just Mercy, Black Panther, Green Book, Mrs. Doubtfire, Spider-Man: Homecoming","Gunner's Dream, Comfortably Numb, Paranoid Eyes, Time, Shine On You Crazy Diamond","Python, R, JavaScript, SQL, Java","Philadelphia 76ers, New York Knicks, Golden State Warriors, Phoenix Mercury, Chicago Sky","Young Justice, Avatar the Last Airbender, The Daily Show, Fullmetal Alchemist, How It's Made"
afurey,Aidan,Furey,fistuvfurey,afurey@email.com,"Chicken, Cow, Pig, Alligator, Lamb","A Tree Grows in Brooklyn; A Soldier of the Great War; Guns, Germs, and Steel; The Great Gatsby, Of Mice and Men","Ireland, Spain, New Zeland, Japan, Germany","Gyro, Tacos, Pizza, Ice Cream, Cookies","Goldeneye, Mortal Kombat, Call of Duty, Mario Kart, Pong ",,,"Python, Java, Swift, JavaScript, Kotlin","Yankees, Knicks, Nets, Giants, Golden State Warriors",
ajeong,Alexandra,Jeong,ajeong,a@gmail.com,"Cow, Tuna, Chicken, Pig, Fish","Born a Crime, Glass Castle, Grit, The Tipping Point, Freakonomics","Japan, Hong Kong, Korea, China, Italy","Icecream, Crepes, Tomatoes, Steak, Sushi","TFT, League, Osu, Genshin Impact, Minecraft","Just Mercy, Black Panther, Green Book, Mrs. Doubtfire, Spider-Man: Homecoming","Gunner's Dream, Comfortably Numb, Paranoid Eyes, Time, Shine On You Crazy Diamond","Python, Java, Swift, JavaScript, Kotlin","Yankees, Knicks, Nets, Giants, Golden State Warriors","Cosmos, The Office, Squid Game, Lupin, Attack On Titan"
amohideen,Hana,Mohideen,hanamohideen,ahm@gmail.com,"Fish, Chicken, Cow, Goat, Shrimp","100 Years of Solitude, Deep Secret, The Left Hand of Darkness, The Dream Catcher, Mistborn","Spain, Japan, Morocco, Peru, Korea","Hot Pot, Dosa, Biriyani, Parota, Ramen",,,,"Python, Java, Javascript, Ruby, Solidity",,"Gintama, The Office,  Avatar,  Arrested Development, Riverdale"
anbarua,Aneek,Barua,anbarua,anookabara@gmail.com,"Chicken, Salmon, Turkey, Shrimp, Octopus",,,,"Minecraft, Skyrim, AC4, NFS Underground, COD MW2","Interstellar, No Country for Old Men, Hell or High Water, K3G, Yeh Jeewani Hai Deewani",,"C++, C, Python, RoR, Lua",,"FMAB, Code Geass, Peaky Blinders, Burn Notice, White Collar"
